Event	ID	Name			Wwise Object Path	Notes
	303710254	Push_Corpse_Box			\Default Work Unit\Interactions\Corpse_Boxes\Push_Corpse_Box	
	322824134	Stop_Scry_Idle			\Default Work Unit\UI\Stop_Scry_Idle	
	381528817	Riven_Weapon_Woosh			\Default Work Unit\Riven\Riven_Weapon_Woosh	
	409018542	Grimoire_Close			\Default Work Unit\UI\Grimoire\Grimoire_Close	
	528446302	Riven_Idle			\Default Work Unit\Riven\Riven_Idle	
	529906916	Mother_FS_Stone			\Default Work Unit\Mother_Footsteps\Mother_FS_Stone	
	538681077	Grief_Intro_Music			\Default Work Unit\Grief_Intro_Music	
	603848811	Weapon_Block			\Default Work Unit\Combat\Weapon_Block	
	867008933	Stop_Riven_Feed			\Default Work Unit\Riven\Stop_Riven_Feed	
	1040915358	Grimoire_PageTurn			\Default Work Unit\UI\Grimoire\Grimoire_PageTurn	
	1141296488	SFX_Weapon_Woosh			\Default Work Unit\Combat\SFX_Weapon_Woosh	
	1271950611	Stop_Riven_Idle			\Default Work Unit\Riven\Stop_Riven_Idle	
	1437644755	Play_Stone_Run			\Default Work Unit\Mother_Footsteps\Play_Stone_Run	
	1520255127	Riven_FS_Barn			\Default Work Unit\Riven\Riven_FS_Barn	
	1566956713	Stop_Riven_Search			\Default Work Unit\Riven\Stop_Riven_Search	
	1662521364	RT_Tunnel			\Default Work Unit\Ambiances\RT_Tunnel	
	1815118850	Riven_Chase			\Default Work Unit\Riven\Riven_Chase	
	1835832625	Pull_Board			\Default Work Unit\Interactions\Pull_Board	
	1949207583	Mother_ClosetOpen			\Default Work Unit\Interactions\Mother_ClosetOpen	
	1987400100	Scry_Equip01			\Default Work Unit\UI\Scrying_Mirror\Scry_Equip01	
	2279337245	Aura_Idle			\Default Work Unit\Aura\Aura_Idle	
	2537553170	Stop_Aura_Idle			\Default Work Unit\Stop_Aura_Idle	
	2599040456	UI_Crafting			\Default Work Unit\UI\UI_Crafting	
	2765071547	Play_Barn_Run			\Default Work Unit\Mother_Footsteps\Play_Barn_Run	
	2801517852	Riven_Search			\Default Work Unit\Riven\Riven_Search	
	2813559734	Mother_FS_Walk			\Default Work Unit\Mother_Footsteps\Mother_FS_Walk	
	2899351277	Stop_Riven_Chase			\Default Work Unit\Riven\Stop_Riven_Chase	
	2922995564	Riven_Feed			\Default Work Unit\Riven\Riven_Feed	
	2981377429	Ambiance			\Default Work Unit\Ambiances\Ambiance	
	2987241197	Scry_Idle			\Default Work Unit\UI\Scrying_Mirror\Scry_Idle	
	3028833183	Mother_ClosetDoor			\Default Work Unit\Interactions\Mother_ClosetDoor	
	3049685224	Hit_NPC			\Default Work Unit\Combat\Hit_NPC	
	3492312019	Mother_FS_Tunnel			\Default Work Unit\Mother_FS_Tunnel	
	3753599689	UI_Tick			\Default Work Unit\UI\UI_Tick	
	3885665502	Riven_FS_Wetlands			\Default Work Unit\Riven\Riven_FS_Wetlands	
	4052566713	Mother_FS_Wetlands_Walk			\Default Work Unit\Mother_Footsteps\Mother_FS_Wetlands_Walk	
	4074752091	Corpse_Box_Break			\Default Work Unit\Interactions\Corpse_Boxes\Corpse_Box_Break	

Switch Group	ID	Name			Wwise Object Path	Notes
	488413282	Weapon_Combo			\Default Work Unit\Weapon_Combo	
	509377401	floormaterials			\Default Work Unit\floormaterials	
	3942364280	Weapon_Type			\Default Work Unit\Weapon_Type	

Switch	ID	Name	Switch Group			Notes
	774266986	Metal_Wood	Weapon_Combo			
	1598988646	Wood_Wood	Weapon_Combo			
	3839157182	Metal_Metal	Weapon_Combo			
	496769563	Wetlands	floormaterials			
	1216965916	Stone	floormaterials			
	1274655758	Barn	floormaterials			
	3059984139	Tunnel	floormaterials			
	3598975185	Hardwood	floormaterials			
	2058049674	Wood	Weapon_Type			
	2473969246	Metal	Weapon_Type			

Game Parameter	ID	Name			Wwise Object Path	Notes
	3482793261	Craft_LMB_Press			\Default Work Unit\Craft_LMB_Press	

Audio Bus	ID	Name			Wwise Object Path	Notes
	393239870	SFX			\Default Work Unit\Master Audio Bus\SFX	
	436743010	Character			\Default Work Unit\Master Audio Bus\Character	
	2764240573	Combat			\Default Work Unit\Master Audio Bus\Combat	
	2981377429	Ambiance			\Default Work Unit\Master Audio Bus\Ambiance	
	3605787677	Riven			\Default Work Unit\Master Audio Bus\Riven	
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	
	3991942870	Music			\Default Work Unit\Master Audio Bus\Music	

Effect plug-ins	ID	Name	Type				Notes
	484890516	Church_Small_Wood	Wwise RoomVerb			
	1159390747	Room_Medium_Tiled	Wwise RoomVerb			
	1590660382	Nearly_Forever	Wwise Delay			
	2301880513	Many_Even_Harm_Peaks	Wwise Flanger			
	3851006675	Secret_message_Distant	Wwise Harmonizer			
	3948262040	Octave_Down	Wwise Pitch Shifter			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	7562810	Riven_Feed03	D:\Gehenna\Gehenna\Content\Gehenna_WwiseProject\.cache\Windows\SFX\Riven_Feed03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Riven\Riven\VOX\Riven_Feed\Riven_Feed03		268206
	14007900	Mother_ClosetDoor01	D:\Gehenna\Gehenna\Content\Gehenna_WwiseProject\.cache\Windows\SFX\Mother_ClosetDoor01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Interactions\Closet\Mother_ClosetDoor\Mother_ClosetDoor01		139504
	37900821	Mom_Footsteps_Barn01	D:\Gehenna\Gehenna\Content\Gehenna_WwiseProject\.cache\Windows\SFX\Mom_Footsteps_Barn01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Mother\Footsteps\Mother_Footsteps_Walk\Barn\Mom_Footsteps_Barn01		59402
	46664748	RT_Tunnel	D:\Gehenna\Gehenna\Content\Gehenna_WwiseProject\.cache\Windows\SFX\RT_Tunnel_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\RT_Tunnel		3439864
	72018701	SFX_Crunch_Layer05	D:\Gehenna\Gehenna\Content\Gehenna_WwiseProject\.cache\Windows\SFX\SFX_Crunch_Layer05_DEB962AD.wem		\Actor-Mixer Hierarchy\Default Work Unit\Combat\Hit_NPC\Crunch_Layer\SFX_Crunch_Layer05		29856
	72218813	Combat_Metal_Wood05	D:\Gehenna\Gehenna\Content\Gehenna_WwiseProject\.cache\Windows\SFX\Combat_Metal_Wood05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Combat\Weapon_Block\Weapon_Wood_Metal\Combat_Metal_Wood05		10238
	76739567	Mom_Foot_Wetlands04	D:\Gehenna\Gehenna\Content\Gehenna_WwiseProject\.cache\Windows\SFX\Mom_Foot_Wetlands04_FADED359.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Mother\Footsteps\Mother_Footsteps_Walk\Mother_FS_Wetlands\Mom_Foot_Wetlands04		82350
	78846344	SFX_Grim_PageTurn02	D:\Gehenna\Gehenna\Content\Gehenna_WwiseProject\.cache\Windows\SFX\SFX_Grim_PageTurn02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\UI\Grimoire\Page_Turn\SFX_Grim_PageTurn02		145018
	81876529	Riven_Idle24	D:\Gehenna\Gehenna\Content\Gehenna_WwiseProject\.cache\Windows\SFX\Riven_Idle24_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Riven\Riven\VOX\Riven_Idle\Riven_Idle24		379466
	86317729	SFX_Wood_Hit_Stun02	D:\Gehenna\Gehenna\Content\Gehenna_WwiseProject\.cache\Windows\SFX\SFX_Wood_Hit_Stun02_018E049B.wem		\Actor-Mixer Hierarchy\Default Work Unit\Combat\Hit_NPC\Weapon_Type\Hit_Wood\SFX_Wood_Hit_Stun02		23456
	89930855	SFX_Crunch_Layer02	D:\Gehenna\Gehenna\Content\Gehenna_WwiseProject\.cache\Windows\SFX\SFX_Crunch_Layer02_BB7FFF57.wem		\Actor-Mixer Hierarchy\Default Work Unit\Combat\Hit_NPC\Crunch_Layer\SFX_Crunch_Layer02		21138
	90111507	Riven_Vocal05	D:\Gehenna\Gehenna\Content\Gehenna_WwiseProject\.cache\Windows\SFX\Riven_Vocal05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Riven\Riven\VOX\Riven_Search\Riven_Investig8\Riven_Vocalizations\Riven_Vocal05		543712
	108706962	Mom_Foot_Stone_Run04	D:\Gehenna\Gehenna\Content\Gehenna_WwiseProject\.cache\Windows\SFX\Mom_Foot_Stone_Run04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Mother\Footsteps\Mother_Footsteps_Run\Stone_Run\Mom_Foot_Stone_Run04		81226
